Ticker,Company,Accuracy,Strategy_Return_%,Market_Return_%,Sharpe,Max_Drawdown_%
TATASTEEL.NS,TATASTEEL,0.35390070921985817,56.838412477399444,492.63284635054913,0.4134792721129104,-44.09413409859858
ICICIBANK.NS,ICICIBANK,0.42036553524804177,37.44034959057396,142.72058705641552,0.5475992809469579,-21.811241076727683
CIPLA.NS,CIPLA,0.34893617021276596,31.820966228075463,295.3844744654099,0.3445083792470865,-44.151688218739714
KOTAKBANK.NS,KOTAKBANK,0.3671940049958368,26.337745902028665,5.093568704526064,0.46240748055836384,-13.591815740563995
DIVISLAB.NS,DIVISLAB,0.35130278526504943,10.850469133699914,67.675918356104,0.21577366084633848,-41.01630314266744
HDFCLIFE.NS,HDFCLIFE,0.3524804177545692,7.858457822309783,30.750466557852008,0.38128950969304387,-11.851973779431201
COALINDIA.NS,COALINDIA,0.3772290809327846,1.8965467953782955,108.57486201666732,0.12906221429803466,-24.993260073751177
GRASIM.NS,GRASIM,0.35509138381201044,-7.335701476552647,105.93043990128822,-0.014074028450971474,-33.959510156587136
BPCL.NS,BPCL,0.33427963094393187,-10.627232180802014,167.01601205695744,0.03433089086518593,-39.90436108331742
DRREDDY.NS,DRREDDY,0.3598296664300923,-10.857062087537695,106.69553367979003,-0.057760005568951854,-39.76796778979064
NESTLEIND.NS,NESTLEIND,0.38509316770186336,-11.736714645654633,31.7716288656708,-0.21432876721682367,-23.642462067748838
POWERGRID.NS,POWERGRID,0.37003405221339386,-11.959734235601937,85.78991358364854,-0.08550700805161514,-29.289301327118523
ONGC.NS,ONGC,0.3647977288857346,-14.120294877144435,280.4358222223252,0.07824894525142319,-47.047567068740626
HEROMOTOCO.NS,HEROMOTOCO,0.3394255874673629,-16.23658784166736,103.0902927583154,-0.14437366571709195,-40.365751175595776
SBILIFE.NS,SBILIFE,0.35989717223650386,-18.1895835753734,37.34867465799634,-0.5641865469045106,-24.04829804008026
ADANIPORTS.NS,ADANIPORTS,0.36155606407322655,-18.604876706085538,76.12211953696921,-0.029969075225408124,-47.92128536163792
ULTRACEMCO.NS,ULTRACEMCO,0.352580927384077,-18.725146947049033,80.44297552385986,-0.24915465353702623,-37.37416794794819
HCLTECH.NS,HCLTECH,0.363079615048119,-21.39104766095219,98.90847661981346,-0.24495383744434246,-37.914581938538994
TCS.NS,TCS,0.3694852941176471,-21.43116266487676,2.7409976070889464,-0.41946525992771094,-27.486211228491484
LT.NS,LT,0.35309503051438534,-22.781312880390136,197.6891606203497,-0.29327214580815675,-34.00269738962892
BHARTIARTL.NS,BHARTIARTL,0.34986945169712796,-25.903568057783723,303.80148044257805,-0.5692346737523754,-28.932693920536924
TECHM.NS,TECHM,0.3301282051282051,-29.84585504715764,11.897151527263649,-0.4627612411179275,-36.9949177580118
NTPC.NS,NTPC,0.3557504873294347,-30.488144487545398,205.77795184961505,-0.2981653182304305,-44.402882320195246
MARUTI.NS,MARUTI,0.375,-31.692232612634008,122.4886976142137,-0.6769927573685967,-38.542302224761926
SHREECEM.NS,SHREECEM,0.335,-31.76352265288719,15.2158365840112,-0.4565417081147269,-44.597625547985
JSWSTEEL.NS,JSWSTEEL,0.3019038984587489,-37.83530250213435,84.59896288509962,-0.5296896991838186,-47.108699004647136
UPL.NS,UPL,0.30332167832167833,-40.25066077817878,32.962177651851455,-0.5362263335735726,-46.56464626209532
ASIANPAINT.NS,ASIANPAINT,0.37597911227154046,-40.81282834273885,15.27191268562862,-0.6305904669416481,-43.85357838076702
BAJFINANCE.NS,BAJFINANCE,0.33246301131418626,-40.984395119419105,91.02760930107412,-0.584439039119608,-49.93848137424596
TITAN.NS,TITAN,0.3347517730496454,-41.16335464145975,212.389866227571,-0.5042491939404087,-43.154421925053946
SBIN.NS,SBIN,0.349645390070922,-44.79228604100547,259.479798220997,-0.2883911879457491,-52.746549294839525
ADANIGREEN.NS,ADANIGREEN,0.3050847457627119,-46.318047950609184,-44.46778712848434,-0.8040193853363083,-68.72127675443633
WIPRO.NS,WIPRO,0.3468085106382979,-48.34047917805161,131.5102086156063,-0.3737581307224694,-56.24758203469465
EICHERMOT.NS,EICHERMOT,0.32505322924059615,-48.37787828231088,306.17575459614477,-0.5099045841963986,-60.16789149241434
M&M.NS,M&M,0.3432624113475177,-50.03750117648935,761.1710559686628,-0.36412092186276096,-69.2009460126545
HDFCBANK.NS,HDFCBANK,0.375177304964539,-51.73747432376739,77.51908536226995,-0.5590911971235347,-55.59639897679942
HINDUNILVR.NS,HINDUNILVR,0.38581560283687943,-52.37220883664442,24.400994978751235,-0.6973351621989963,-54.881970022781246
TATAMOTORS.NS,TATAMOTORS,0.3326241134751773,-52.47513251861973,230.89224119029956,-0.16275401958328484,-71.09278762044599
RELIANCE.NS,RELIANCE,0.3584102200141945,-56.08769501534101,148.59833480469806,-0.504576892002836,-57.33516484343249
